,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
145,Kawhi Leonard,San Antonio Spurs,32:22,5,5,100,1,1,100,2,2,100,1,4,5,3,0,0,1,1,13,25,33
146,Danny Green,San Antonio Spurs,32:30,8,9,88.9,3,3,100,2,2,100,0,0,0,3,1,0,1,0,21,10,33
147,Harrison Barnes,Golden State Warriors,19:54,4,6,66.7,0,0,0.0,2,2,100,0,1,1,1,0,0,0,5,10,3,34
148,Klay Thompson,Golden State Warriors,28:19,6,17,35.3,2,6,33.3,3,3,100,3,5,8,3,1,0,2,4,17,2,34
149,Stephen Curry,Golden State Warriors,43:02,6,16,37.5,2,7,28.6,9,10,90.0,0,4,4,4,3,0,5,4,23,6,34
150,Draymond Green,Golden State Warriors,5:24,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,0,34
151,Blake Griffin,Los Angeles Clippers,37:58,4,12,33.3,0,0,0.0,11,16,68.8,2,9,11,4,3,0,2,5,19,3,34
152,DeAndre Jordan,Los Angeles Clippers,22:14,2,4,50.0,0,0,0.0,0,2,0.0,3,5,8,0,0,2,1,6,4,-2,34
153,Chris Paul,Los Angeles Clippers,33:15,3,9,33.3,2,2,100,19,20,95.0,0,2,2,10,1,0,5,3,27,2,34
154,Eric Bledsoe,Los Angeles Clippers,14:58,2,5,40.0,0,0,0.0,0,0,0.0,1,0,1,3,2,0,1,2,4,-11,34
155,Thaddeus Young,Philadelphia 76ers,35:59,7,14,50.0,0,0,0.0,2,3,66.7,6,0,6,1,3,0,2,6,16,-1,35
156,Jrue Holiday,Philadelphia 76ers,40:09,11,18,61.1,5,6,83.3,0,0,0.0,0,2,2,7,1,0,6,1,27,-2,35
157,Carmelo Anthony,New York Knicks,38:59,10,18,55.6,1,4,25.0,6,9,66.7,1,4,5,1,1,2,2,2,27,5,35
158,Jonas Valanciunas,Toronto Raptors,22:42,2,8,25.0,0,0,0.0,0,0,0.0,3,1,4,2,0,1,1,3,4,2,36
159,DeMar DeRozan,Toronto Raptors,32:26,8,14,57.1,1,2,50.0,5,6,83.3,2,5,7,2,3,0,2,3,22,13,36
160,Kyle Lowry,Toronto Raptors,31:46,8,10,80.0,2,3,66.7,4,4,100,4,3,7,5,3,0,2,1,22,10,36
161,Terrence Ross,Toronto Raptors,7:13,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,3,2,-3,36
162,Ed Davis,Toronto Raptors,23:59,3,7,42.9,0,0,0.0,0,0,0.0,2,5,7,1,0,0,1,2,6,14,36
163,Goran Dragic,Phoenix Suns,34:32,5,12,41.7,1,5,20.0,1,2,50.0,2,1,3,8,1,0,3,3,12,-14,37
164,Markieff Morris,Phoenix Suns,15:45,2,6,33.3,0,1,0.0,0,2,0.0,2,1,3,1,0,1,2,4,4,-16,37
165,P.J. Tucker,Phoenix Suns,7:42,0,1,0.0,0,0,0.0,1,2,50.0,0,1,1,0,1,0,0,1,1,-14,37
166,Nikola Vucevic,Orlando Magic,36:42,9,16,56.3,0,0,0.0,0,0,0.0,6,7,13,3,1,0,2,3,18,26,37
167,E'Twaun Moore,Orlando Magic,38:00,6,11,54.5,3,3,100,0,0,0.0,2,1,3,6,3,0,3,2,15,15,37
168,Ish Smith,Orlando Magic,10:00,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,1,0,0,1,0,0,6,37
169,Al Horford,Atlanta Hawks,33:14,11,19,57.9,0,0,0.0,1,2,50.0,6,6,12,3,1,1,0,4,23,9,38
170,Lou Williams,Atlanta Hawks,27:33,5,14,35.7,1,6,16.7,8,9,88.9,0,0,0,4,2,0,2,0,19,6,38
171,Kevin Durant,Oklahoma City Thunder,42:05,7,17,41.2,1,4,25.0,7,8,87.5,1,11,12,8,3,2,6,3,22,-8,38
172,Serge Ibaka,Oklahoma City Thunder,36:39,6,9,66.7,0,1,0.0,2,2,100,2,3,5,0,0,3,1,3,14,-4,38
173,Russell Westbrook,Oklahoma City Thunder,36:09,5,18,27.8,2,6,33.3,2,2,100,1,4,5,9,0,0,3,4,14,-5,38
174,Reggie Jackson,Oklahoma City Thunder,4:40,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,38
175,Andre Drummond,Detroit Pistons,21:42,2,6,33.3,0,0,0.0,1,2,50.0,4,3,7,0,0,2,1,2,5,2,39
176,Dwight Howard,Los Angeles Lakers,32:50,12,14,85.7,0,0,0.0,4,9,44.4,4,3,7,0,2,3,4,1,28,29,39
177,Carmelo Anthony,New York Knicks,30:26,7,16,43.8,1,6,16.7,6,6,100,2,5,7,2,0,1,2,2,21,20,40
178,Thaddeus Young,Philadelphia 76ers,29:22,7,12,58.3,0,0,0.0,0,0,0.0,4,6,10,1,1,0,3,1,14,-16,40
179,Jrue Holiday,Philadelphia 76ers,35:24,4,12,33.3,3,6,50.0,6,6,100,1,2,3,8,2,0,4,3,17,-17,40
180,Brook Lopez,Brooklyn Nets,32:04,5,14,35.7,0,0,0.0,3,5,60.0,0,8,8,0,1,2,1,0,13,-2,41
181,Goran Dragic,Phoenix Suns,28:41,3,9,33.3,2,3,66.7,5,6,83.3,0,3,3,9,2,0,2,2,13,-16,42
