,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID
1663,Miami Heat,38,75,50.7,6,18,33.3,18,26,69.2,15,27,42,24,9,4,17,17,100,23,1,831
1664,Detroit Pistons,45,81,55.6,8,19,42.1,14,19,73.7,11,28,39,32,9,4,13,19,112,11,0,832
1665,Charlotte Bobcats,42,78,53.8,8,18,44.4,9,20,45.0,8,21,29,29,4,5,13,16,101,-11,1,832
1666,New Jersey Nets,34,88,38.6,2,13,15.4,22,27,81.5,16,15,31,16,11,8,10,20,92,-7,0,833
1667,Toronto Raptors,39,76,51.3,1,6,16.7,20,28,71.4,15,30,45,20,8,3,18,22,99,7,1,833
1668,New Orleans Hornets,33,80,41.2,8,17,47.1,15,25,60.0,11,23,34,24,9,4,14,25,89,-22,0,834
1669,Memphis Grizzlies,41,68,60.3,5,12,41.7,24,33,72.7,6,35,41,26,10,5,14,21,111,22,1,834
1670,New York Knicks,31,80,38.8,12,38,31.6,36,43,83.7,7,35,42,18,10,9,11,26,110,1,0,835
1671,Indiana Pacers,39,88,44.3,5,14,35.7,26,33,78.8,12,36,48,20,4,4,13,25,109,-1,1,835
1672,Phoenix Suns,35,82,42.7,2,20,10.0,18,33,54.5,14,23,37,19,5,1,14,18,90,-25,0,836
1673,Dallas Mavericks,45,89,50.6,11,27,40.7,14,18,77.8,18,33,51,29,7,4,14,23,115,25,1,836
1674,Sacramento Kings,37,82,45.1,6,18,33.3,24,30,80.0,15,37,52,23,7,2,21,19,104,1,0,837
1675,Golden State Warriors,42,101,41.6,6,22,27.3,13,18,72.2,19,24,43,27,13,7,10,22,103,-1,1,837
1676,Oklahoma City Thunder,40,72,55.6,8,17,47.1,32,35,91.4,5,33,38,19,7,6,12,22,120,14,0,838
1677,Los Angeles Lakers,38,81,46.9,7,15,46.7,23,28,82.1,10,24,34,23,10,5,10,23,106,-14,1,838
1678,Miami Heat,36,69,52.2,6,17,35.3,20,24,83.3,10,28,38,24,5,3,17,19,98,8,0,839
1679,Atlanta Hawks,37,83,44.6,4,12,33.3,12,21,57.1,15,20,35,25,11,1,13,21,90,-8,1,839
1680,Charlotte Bobcats,45,79,57.0,4,13,30.8,11,16,68.8,9,21,30,27,3,5,8,15,105,2,0,840
1681,New Jersey Nets,43,79,54.4,4,10,40.0,13,14,92.9,7,22,29,23,5,2,6,18,103,-2,1,840
1682,Orlando Magic,35,80,43.8,11,25,44.0,14,21,66.7,19,37,56,24,9,5,16,13,95,10,0,841
1683,Philadelphia 76ers,35,82,42.7,5,17,29.4,10,11,90.9,8,23,31,22,11,3,10,14,85,-10,1,841
1684,Boston Celtics,32,84,38.1,2,7,28.6,28,34,82.4,13,36,49,20,10,10,18,25,94,-1,0,842
1685,Washington Wizards,34,85,40.0,2,5,40.0,25,32,78.1,10,36,46,14,13,11,17,31,95,1,1,842
1686,Cleveland Cavaliers,39,84,46.4,6,19,31.6,26,34,76.5,9,25,34,28,9,3,6,25,110,9,0,843
1687,Detroit Pistons,38,74,51.4,4,9,44.4,21,28,75.0,12,33,45,22,3,7,16,27,101,-9,1,843
1688,Toronto Raptors,30,81,37.0,3,12,25.0,23,31,74.2,18,32,50,16,8,2,20,21,86,-7,0,844
1689,Milwaukee Bucks,32,76,42.1,3,17,17.6,26,30,86.7,11,34,45,20,10,6,15,20,93,7,1,844
1690,Utah Jazz,37,67,55.2,6,16,37.5,10,15,66.7,3,29,32,25,6,8,14,18,90,12,0,845
1691,New Orleans Hornets,28,74,37.8,4,11,36.4,18,26,69.2,13,29,42,16,11,1,13,17,78,-12,1,845
1692,Dallas Mavericks,38,83,45.8,4,17,23.5,18,20,90.0,6,43,49,21,9,5,20,20,98,7,0,846
1693,Houston Rockets,35,96,36.5,8,27,29.6,13,16,81.3,17,35,52,24,11,1,17,19,91,-7,1,846
1694,Golden State Warriors,40,90,44.4,13,25,52.0,18,21,85.7,9,28,37,20,5,6,11,24,111,-23,0,847
1695,Denver Nuggets,50,94,53.2,10,23,43.5,24,35,68.6,10,39,49,31,8,8,8,18,134,23,1,847
1696,Minnesota Timberwolves,52,95,54.7,7,16,43.8,16,20,80.0,13,32,45,21,7,3,16,16,127,-8,0,848
1697,Phoenix Suns,50,92,54.3,18,29,62.1,17,23,73.9,7,28,35,40,10,4,15,20,135,8,1,848
1698,Oklahoma City Thunder,43,75,57.3,2,10,20.0,32,37,86.5,9,31,40,20,9,11,18,26,120,8,0,849
1699,Sacramento Kings,35,85,41.2,4,20,20.0,38,42,90.5,16,24,40,21,15,2,11,25,112,-8,1,849
1700,Chicago Bulls,36,83,43.4,7,20,35.0,24,27,88.9,12,39,51,20,6,4,13,18,103,13,0,850
1701,New York Knicks,34,83,41.0,8,31,25.8,14,17,82.4,5,28,33,19,10,5,11,20,90,-13,1,850
1702,Memphis Grizzlies,36,79,45.6,6,12,50.0,11,18,61.1,15,27,42,16,3,2,15,23,89,-13,0,851
1703,Portland Trail Blazers,36,80,45.0,9,18,50.0,21,23,91.3,14,25,39,23,9,7,10,15,102,13,1,851
1704,San Antonio Spurs,31,88,35.2,9,25,36.0,22,24,91.7,11,31,42,18,5,2,9,23,93,-9,0,852
1705,Los Angeles Lakers,36,79,45.6,5,19,26.3,25,28,89.3,7,38,45,24,1,3,12,23,102,9,1,852
1706,New York Knicks,39,85,45.9,7,23,30.4,17,21,81.0,12,25,37,22,8,5,16,16,102,-10,0,853
1707,Boston Celtics,48,85,56.5,8,17,47.1,8,13,61.5,5,35,40,19,9,1,15,21,112,10,1,853
1708,Atlanta Hawks,34,79,43.0,1,8,12.5,16,20,80.0,10,27,37,16,3,7,14,15,85,-11,0,854
1709,Charlotte Bobcats,40,80,50.0,3,10,30.0,13,16,81.3,7,30,37,27,7,7,8,16,96,11,1,854
1710,Washington Wizards,39,90,43.3,4,12,33.3,11,15,73.3,17,27,44,24,11,10,16,25,93,-7,0,855
1711,Cleveland Cavaliers,35,83,42.2,5,21,23.8,25,29,86.2,13,27,40,23,3,6,13,13,100,7,1,855
1712,Indiana Pacers,27,88,30.7,9,25,36.0,11,16,68.8,9,26,35,16,11,1,17,23,74,-18,0,856
1713,Orlando Magic,32,73,43.8,8,26,30.8,20,25,80.0,12,43,55,17,8,4,28,18,92,18,1,856
1714,Detroit Pistons,37,76,48.7,6,17,35.3,24,31,77.4,4,37,41,26,5,5,11,17,104,4,0,857
1715,Philadelphia 76ers,39,91,42.9,8,24,33.3,14,16,87.5,9,31,40,27,6,6,8,22,100,-4,1,857
1716,Miami Heat,37,81,45.7,13,26,50.0,10,14,71.4,13,27,40,20,6,1,14,18,97,18,0,858
1717,Toronto Raptors,28,64,43.8,1,8,12.5,22,34,64.7,10,23,33,16,8,8,17,15,79,-18,1,858
1718,New Jersey Nets,36,80,45.0,6,15,40.0,14,16,87.5,8,27,35,21,6,6,11,19,92,-5,0,859
1719,Chicago Bulls,34,79,43.0,7,21,33.3,22,27,81.5,15,30,45,23,3,9,13,20,97,5,1,859
1720,New Orleans Hornets,34,79,43.0,6,14,42.9,15,17,88.2,5,30,35,23,7,1,13,28,89,-32,0,860
1721,Dallas Mavericks,40,73,54.8,13,28,46.4,28,34,82.4,6,36,42,32,7,1,14,17,121,32,1,860
1722,Houston Rockets,42,84,50.0,12,31,38.7,25,32,78.1,12,36,48,32,5,3,15,18,121,19,0,861
1723,Minnesota Timberwolves,41,92,44.6,4,13,30.8,16,21,76.2,12,30,42,20,9,2,15,22,102,-19,1,861
1724,Milwaukee Bucks,40,88,45.5,7,18,38.9,23,27,85.2,8,26,34,22,15,6,13,15,110,4,0,862
