,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
556,Rockets,44,74,59.5,16,23,69.6,23,26,88.5,6,26,32,26,9,3,12,25,127,16,0,279
557,Grizzlies,40,77,51.9,3,12,25.0,28,33,84.8,9,19,28,18,7,5,13,18,111,-16,1,279
558,Knicks,39,83,47.0,13,30,43.3,9,12,75.0,6,33,39,27,8,4,14,19,100,8,0,280
559,Pelicans,33,77,42.9,3,14,21.4,23,30,76.7,11,36,47,18,11,2,19,16,92,-8,1,280
560,Timberwolves,39,94,41.5,3,12,25.0,20,25,80.0,24,35,59,18,7,4,17,24,101,-6,0,281
561,Spurs,34,75,45.3,6,23,26.1,33,37,89.2,8,29,37,23,11,8,12,21,107,6,1,281
562,Clippers,39,90,43.3,6,20,30.0,20,29,69.0,13,33,46,25,13,3,16,37,104,-5,0,282
563,Nuggets,27,67,40.3,10,24,41.7,45,59,76.3,10,32,42,17,11,11,19,23,109,5,1,282
564,Pacers,37,79,46.8,11,26,42.3,12,16,75.0,9,35,44,24,5,7,24,30,97,-8,0,283
565,Suns,35,78,44.9,11,22,50.0,24,33,72.7,7,27,34,25,14,3,14,22,105,8,1,283
566,Mavericks,40,76,52.6,6,19,31.6,7,11,63.6,3,34,37,25,11,4,13,20,93,12,0,284
567,Jazz,29,74,39.2,3,14,21.4,20,30,66.7,12,31,43,20,8,6,14,16,81,-12,1,284
568,Kings,31,77,40.3,5,16,31.3,13,22,59.1,12,28,40,15,3,2,21,21,80,-33,0,285
569,Lakers,47,83,56.6,3,14,21.4,16,22,72.7,7,32,39,27,10,8,10,20,113,33,1,285
570,Hawks,32,80,40.0,5,17,29.4,8,12,66.7,9,29,38,16,5,0,11,17,77,-12,0,286
571,Heat,34,72,47.2,3,8,37.5,18,23,78.3,6,37,43,15,7,9,9,16,89,12,1,286
572,Hornets,33,77,42.9,5,15,33.3,20,26,76.9,10,27,37,16,6,2,11,18,91,-18,0,287
573,76ers,41,79,51.9,11,21,52.4,16,19,84.2,10,28,38,23,5,6,11,26,109,18,1,287
