,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
31,Tobias Harris,Detroit Pistons,34:03:00,11,18,61.1,4,7,57.1,1,1,100,2,8,10,3,0,0,1,3,27,10,2,10/18/2017
32,Andre Drummond,Detroit Pistons,22:21,3,9,33.3,0,0,0,2,2,100,5,8,13,4,1,2,0,3,8,8,2,10/18/2017
33,Avery Bradley,Detroit Pistons,23:19,7,10,70,0,0,0,1,1,100,0,2,2,1,0,0,2,4,15,10,2,10/18/2017
34,Reggie Jackson,Detroit Pistons,27:10:00,5,10,50,0,1,0,3,3,100,1,4,5,8,1,0,0,2,13,10,2,10/18/2017
35,Ish Smith,Detroit Pistons,20:50,2,9,22.2,0,1,0,0,0,0,0,1,1,6,1,0,3,4,4,2,2,10/18/2017
36,D'Angelo Russell,Brooklyn Nets,30:28:00,12,22,54.5,4,8,50,2,2,100,1,2,3,5,1,0,2,4,30,-5,3,10/18/2017
37,Caris LeVert,Brooklyn Nets,27:45:00,5,15,33.3,1,4,25,1,1,100,0,2,2,4,2,1,1,3,12,-2,3,10/18/2017
38,Spencer Dinwiddie,Brooklyn Nets,16:32,1,5,20,0,1,0,0,0,0,1,2,3,4,0,0,2,2,2,-6,3,10/18/2017
39,Bojan Bogdanovic,Indiana Pacers,29:24:00,5,9,55.6,1,3,33.3,3,3,100,0,0,0,0,0,0,3,2,14,3,3,10/18/2017
40,Thaddeus Young,Indiana Pacers,33:20:00,7,16,43.8,1,5,20,2,2,100,5,6,11,3,2,2,2,3,17,13,3,10/18/2017
41,Myles Turner,Indiana Pacers,33:56:00,8,13,61.5,1,3,33.3,4,4,100,3,11,14,2,0,4,1,3,21,12,3,10/18/2017
42,Victor Oladipo,Indiana Pacers,24:33:00,6,12,50,2,6,33.3,8,10,80,0,5,5,4,4,0,3,5,22,11,3,10/18/2017
43,Cory Joseph,Indiana Pacers,24:40:00,4,10,40,1,2,50,2,2,100,1,2,3,4,2,1,1,1,11,7,3,10/18/2017
44,Domantas Sabonis,Indiana Pacers,19:13,7,7,100,0,0,0,2,3,66.7,4,3,7,1,0,0,1,3,16,-4,3,10/18/2017
45,Josh Richardson,Miami Heat,34:56:00,4,9,44.4,2,7,28.6,0,0,0,0,2,2,2,0,1,2,3,10,3,4,10/18/2017
46,Kelly Olynyk,Miami Heat,21:00,3,7,42.9,1,2,50,3,3,100,0,5,5,3,0,0,0,4,10,-10,4,10/18/2017
47,Hassan Whiteside,Miami Heat,36:14:00,11,17,64.7,1,1,100,3,3,100,5,17,22,1,0,1,1,1,26,-5,4,10/18/2017
48,Goran Dragic,Miami Heat,30:37:00,6,19,31.6,1,4,25,4,4,100,3,2,5,6,1,0,0,0,17,-9,4,10/18/2017
49,James Johnson,Miami Heat,18:42,5,9,55.6,0,2,0,1,4,25,2,2,4,8,1,1,4,5,11,6,4,10/18/2017
50,Justise Winslow,Miami Heat,23:16,4,8,50,1,1,100,1,2,50,1,3,4,2,1,0,1,2,10,-13,4,10/18/2017
51,Bam Adebayo,Miami Heat,5:42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,10/18/2017
52,Wayne Ellington,Miami Heat,9:57,1,5,20,0,4,0,1,1,100,0,0,0,0,1,0,1,0,3,-5,4,10/18/2017
53,Evan Fournier,Orlando Magic,34:25:00,9,17,52.9,3,5,60,2,2,100,0,1,1,3,1,0,1,0,23,2,4,10/18/2017
54,Aaron Gordon,Orlando Magic,34:13:00,4,13,30.8,1,2,50,5,6,83.3,2,7,9,3,0,2,1,4,14,10,4,10/18/2017
55,Nikola Vucevic,Orlando Magic,31:37:00,6,12,50,0,3,0,7,8,87.5,2,10,12,1,2,2,1,1,19,11,4,10/18/2017
56,Terrence Ross,Orlando Magic,31:12:00,5,11,45.5,3,7,42.9,2,2,100,0,6,6,4,2,0,1,0,15,18,4,10/18/2017
57,Elfrid Payton,Orlando Magic,31:43:00,6,12,50,1,1,100,0,2,0,0,3,3,9,3,1,4,2,13,9,4,10/18/2017
58,Jonathan Isaac,Orlando Magic,16:57,2,3,66.7,0,1,0,0,0,0,3,5,8,0,0,2,0,3,4,-1,4,10/18/2017
59,D.J. Augustin,Orlando Magic,16:17,2,4,50,0,1,0,3,5,60,1,3,4,2,0,0,2,1,7,-2,4,10/18/2017
60,Robert Covington,Philadelphia 76ers,29:08:00,9,15,60,7,11,63.6,4,4,100,2,5,7,1,1,2,5,4,29,10,5,10/18/2017
61,Ben Simmons,Philadelphia 76ers,34:40:00,7,14,50,0,0,0,4,6,66.7,3,7,10,5,2,1,1,3,18,3,5,10/18/2017
