,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date
968,Atlanta Hawks,32,81,39.5,8,29,27.6,10,18,55.6,12,28,40,16,14,2,24,23,82,-17,0,491,2012-02-22
969,New York Knicks,38,80,47.5,8,22,36.4,15,24,62.5,14,33,47,23,15,3,21,16,99,17,1,491,2012-02-22
970,Milwaukee Bucks,37,88,42.0,2,13,15.4,15,19,78.9,12,17,29,20,11,6,8,20,91,-19,0,492,2012-02-22
971,Chicago Bulls,43,79,54.4,6,13,46.2,18,24,75.0,14,35,49,32,4,7,20,13,110,19,1,492,2012-02-22
972,Philadelphia 76ers,33,82,40.2,0,9,0.0,21,27,77.8,10,30,40,12,10,5,13,18,87,-6,0,493,2012-02-22
973,Houston Rockets,36,78,46.2,5,18,27.8,16,20,80.0,4,34,38,16,3,2,13,21,93,6,1,493,2012-02-22
974,Utah Jazz,39,85,45.9,1,7,14.3,19,24,79.2,14,27,41,25,15,4,9,29,98,-2,0,494,2012-02-22
975,Minnesota Timberwolves,31,77,40.3,11,22,50.0,27,38,71.1,19,29,48,20,5,3,17,19,100,2,1,494,2012-02-22
976,Golden State Warriors,39,84,46.4,9,20,45.0,19,22,86.4,13,27,40,19,6,4,7,18,106,2,0,495,2012-02-22
977,Phoenix Suns,43,90,47.8,4,19,21.1,14,20,70.0,20,31,51,23,5,4,10,17,104,-2,1,495,2012-02-22
978,Los Angeles Lakers,35,76,46.1,8,20,40.0,18,31,58.1,17,32,49,21,8,4,17,17,96,5,0,496,2012-02-22
979,Dallas Mavericks,36,90,40.0,8,32,25.0,11,16,68.8,21,29,50,22,10,3,12,20,91,-5,1,496,2012-02-22
980,Denver Nuggets,33,82,40.2,6,23,26.1,23,31,74.2,14,30,44,21,6,3,12,24,95,-8,0,497,2012-02-22
981,Los Angeles Clippers,38,86,44.2,7,27,25.9,20,28,71.4,17,31,48,22,8,4,11,25,103,8,1,497,2012-02-22
982,New York Knicks,31,79,39.2,7,17,41.2,19,22,86.4,14,27,41,14,9,3,19,15,88,-14,0,498,2012-02-23
983,Miami Heat,42,85,49.4,4,14,28.6,14,19,73.7,14,32,46,19,12,10,16,22,102,14,1,498,2012-02-23
984,Orlando Magic,31,82,37.8,7,32,21.9,9,13,69.2,10,30,40,19,12,8,13,19,78,-5,0,499,2012-02-23
985,Atlanta Hawks,31,78,39.7,7,17,41.2,14,20,70.0,11,36,47,19,8,4,18,12,83,5,1,499,2012-02-23
986,San Antonio Spurs,41,86,47.7,13,27,48.1,19,23,82.6,10,35,45,29,7,4,8,18,114,15,0,500,2012-02-23
987,Denver Nuggets,37,83,44.6,7,19,36.8,18,21,85.7,9,32,41,25,5,4,11,18,99,-15,1,500,2012-02-23
988,Los Angeles Lakers,30,78,38.5,4,13,30.8,21,23,91.3,8,33,41,16,5,2,12,18,85,-15,0,501,2012-02-23
989,Oklahoma City Thunder,36,77,46.8,7,25,28.0,21,25,84.0,7,37,44,17,7,9,12,20,100,15,1,501,2012-02-23
990,Team Shaq Team Shaq,58,101,57.4,12,41,29.3,5,7,71.4,10,19,29,39,14,1,16,11,133,-13,0,503,2012-02-24
991,Team Chuck Team Chuck,60,93,64.5,11,20,55.0,15,18,83.3,12,31,43,36,11,4,18,6,146,13,1,503,2012-02-24
992,West NBA All Stars West,62,116,53.4,12,34,35.3,16,26,61.5,18,28,46,33,14,1,11,12,152,3,0,504,2012-02-26
993,East NBA All Stars East,63,113,55.8,14,32,43.8,9,12,75.0,18,34,52,40,8,4,19,17,149,-3,1,504,2012-02-26
994,Boston Celtics,33,74,44.6,7,17,41.2,13,14,92.9,5,34,39,27,6,1,17,20,86,3,0,505,2012-02-28
995,Cleveland Cavaliers,31,78,39.7,4,17,23.5,17,25,68.0,11,30,41,18,12,5,14,17,83,-3,1,505,2012-02-28
996,Golden State Warriors,29,85,34.1,3,22,13.6,17,24,70.8,19,26,45,15,8,9,15,25,78,-24,0,506,2012-02-28
997,Indiana Pacers,37,84,44.0,5,11,45.5,23,32,71.9,16,38,54,21,11,4,14,23,102,24,1,506,2012-02-28
998,Philadelphia 76ers,42,84,50.0,5,13,38.5,8,9,88.9,11,33,44,26,17,8,15,19,97,29,0,507,2012-02-28
999,Detroit Pistons,25,79,31.6,2,10,20.0,16,20,80.0,15,27,42,14,5,0,22,11,68,-29,1,507,2012-02-28
1000,New Orleans Hornets,36,89,40.4,4,9,44.4,19,22,86.4,13,34,47,22,8,7,14,18,95,-4,0,508,2012-02-28
1001,Chicago Bulls,41,90,45.6,3,18,16.7,14,20,70.0,15,35,50,25,11,10,13,16,99,4,1,508,2012-02-28
1002,Washington Wizards,42,87,48.3,13,24,54.2,21,21,100,13,30,43,24,5,6,15,24,118,-1,0,509,2012-02-28
1003,Milwaukee Bucks,41,91,45.1,8,25,32.0,29,37,78.4,20,26,46,30,11,3,11,19,119,1,1,509,2012-02-28
1004,Toronto Raptors,35,75,46.7,2,17,11.8,13,18,72.2,9,38,47,18,7,5,15,23,85,-3,0,510,2012-02-28
1005,Houston Rockets,29,75,38.7,7,20,35.0,23,28,82.1,8,29,37,14,2,3,13,15,88,3,1,510,2012-02-28
1006,New Jersey Nets,37,84,44.0,7,25,28.0,12,14,85.7,12,41,53,23,9,4,19,21,93,1,0,511,2012-02-28
1007,Dallas Mavericks,32,89,36.0,8,25,32.0,20,28,71.4,17,32,49,19,13,7,13,12,92,-1,1,511,2012-02-28
1008,Utah Jazz,40,85,47.1,5,13,38.5,11,22,50.0,13,30,43,27,13,4,16,23,96,-7,0,512,2012-02-28
1009,Sacramento Kings,37,84,44.0,5,20,25.0,24,29,82.8,16,33,49,23,4,7,17,18,103,7,1,512,2012-02-28
1010,Minnesota Timberwolves,40,78,51.3,10,22,45.5,19,27,70.4,9,30,39,27,4,1,9,18,109,12,0,513,2012-02-28
1011,Los Angeles Clippers,40,85,47.1,2,11,18.2,15,22,68.2,12,30,42,20,6,5,8,23,97,-12,1,513,2012-02-28
1012,Oklahoma City Thunder,30,78,38.5,6,19,31.6,26,34,76.5,19,37,56,12,6,4,17,9,92,4,0,514,2012-02-29
1013,Philadelphia 76ers,37,90,41.1,4,17,23.5,10,12,83.3,13,26,39,22,11,3,11,23,88,-4,1,514,2012-02-29
1014,Orlando Magic,34,75,45.3,15,36,41.7,19,27,70.4,16,32,48,20,7,8,16,20,102,7,0,515,2012-02-29
1015,Washington Wizards,37,90,41.1,6,16,37.5,15,19,78.9,12,24,36,15,10,5,10,22,95,-7,1,515,2012-02-29
1016,Milwaukee Bucks,39,96,40.6,4,15,26.7,14,16,87.5,16,33,49,25,5,4,12,17,96,-6,0,516,2012-02-29
1017,Boston Celtics,40,87,46.0,3,16,18.8,19,28,67.9,18,34,52,26,5,5,14,15,102,6,1,516,2012-02-29
1018,Cleveland Cavaliers,38,82,46.3,9,20,45.0,18,27,66.7,15,28,43,21,2,4,17,31,103,-17,0,517,2012-02-29
1019,New York Knicks,43,85,50.6,6,20,30.0,28,42,66.7,14,28,42,30,10,6,8,22,120,17,1,517,2012-02-29
1020,Golden State Warriors,34,83,41.0,1,12,8.3,16,17,94.1,9,44,53,20,7,9,11,18,85,3,0,518,2012-02-29
1021,Atlanta Hawks,31,92,33.7,4,18,22.2,16,26,61.5,18,32,50,17,5,7,9,14,82,-3,1,518,2012-02-29
1022,Charlotte Bobcats,36,82,43.9,3,9,33.3,19,29,65.5,11,26,37,24,7,4,11,23,94,-15,0,519,2012-02-29
1023,Detroit Pistons,42,84,50.0,1,10,10.0,24,32,75.0,18,37,55,17,3,8,13,25,109,15,1,519,2012-02-29
1024,Dallas Mavericks,35,79,44.3,4,23,17.4,11,14,78.6,8,26,34,16,8,5,18,16,85,-11,0,520,2012-02-29
1025,Memphis Grizzlies,39,80,48.7,2,12,16.7,16,19,84.2,9,33,42,22,12,5,15,16,96,11,1,520,2012-02-29
1026,Toronto Raptors,34,77,44.2,9,15,60.0,18,23,78.3,7,29,36,22,4,9,10,22,95,11,0,521,2012-02-29
1027,New Orleans Hornets,30,80,37.5,3,16,18.8,21,27,77.8,14,35,49,22,3,4,10,22,84,-11,1,521,2012-02-29
1028,Chicago Bulls,37,88,42.0,7,15,46.7,15,21,71.4,13,37,50,16,7,3,15,15,96,7,0,522,2012-02-29
1029,San Antonio Spurs,37,86,43.0,8,20,40.0,7,12,58.3,10,32,42,20,8,5,14,19,89,-7,1,522,2012-02-29
1030,Portland Trail Blazers,38,87,43.7,9,24,37.5,10,11,90.9,11,25,36,23,6,10,13,18,95,-9,0,523,2012-02-29
1031,Denver Nuggets,44,91,48.4,6,21,28.6,10,16,62.5,21,33,54,26,7,10,12,16,104,9,1,523,2012-02-29
1032,Houston Rockets,32,82,39.0,6,23,26.1,13,16,81.3,10,24,34,20,9,6,15,18,83,-21,0,524,2012-02-29
1033,Utah Jazz,42,87,48.3,4,12,33.3,16,16,100,13,37,50,27,7,6,18,16,104,21,1,524,2012-02-29
1034,Minnesota Timberwolves,35,89,39.3,5,19,26.3,10,18,55.6,12,32,44,22,7,1,13,17,85,-19,0,525,2012-02-29
1035,Los Angeles Lakers,41,84,48.8,5,21,23.8,17,22,77.3,9,39,48,30,7,8,13,19,104,19,1,525,2012-02-29
1036,Oklahoma City Thunder,38,74,51.4,8,18,44.4,21,27,77.8,9,27,36,19,5,2,13,14,105,3,0,526,2012-03-01
1037,Orlando Magic,40,84,47.6,9,25,36.0,13,19,68.4,10,28,38,24,6,2,11,19,102,-3,1,526,2012-03-01
1038,Minnesota Timberwolves,34,86,39.5,1,13,7.7,26,32,81.3,16,21,37,14,12,6,11,20,95,-9,0,527,2012-03-01
1039,Phoenix Suns,42,79,53.2,3,8,37.5,17,21,81.0,11,33,44,27,6,7,16,27,104,9,1,527,2012-03-01
1040,Los Angeles Clippers,44,92,47.8,12,23,52.2,8,8,100,7,26,33,30,10,9,9,19,108,8,0,528,2012-03-01
1041,Sacramento Kings,37,79,46.8,9,20,45.0,17,23,73.9,10,30,40,14,3,9,18,17,100,-8,1,528,2012-03-01
1042,Miami Heat,39,82,47.6,6,11,54.5,23,29,79.3,12,29,41,22,11,5,9,15,107,14,0,529,2012-03-01
1043,Portland Trail Blazers,36,76,47.4,5,16,31.3,16,19,84.2,8,28,36,21,6,6,16,21,93,-14,1,529,2012-03-01
1044,Memphis Grizzlies,38,81,46.9,4,11,36.4,22,32,68.8,8,27,35,22,10,4,9,18,102,3,0,530,2012-03-02
1045,Toronto Raptors,38,72,52.8,6,16,37.5,17,20,85.0,4,32,36,25,4,6,16,26,99,-3,1,530,2012-03-02
1046,New Jersey Nets,34,76,44.7,5,19,26.3,21,28,75.0,6,33,39,19,10,2,20,17,94,-13,0,531,2012-03-02
1047,Boston Celtics,45,87,51.7,4,16,25.0,13,17,76.5,6,34,40,35,11,4,15,22,107,13,1,531,2012-03-02
1048,Milwaukee Bucks,32,85,37.6,6,18,33.3,24,28,85.7,10,33,43,19,11,0,16,22,94,-5,0,532,2012-03-02
1049,Atlanta Hawks,39,86,45.3,8,23,34.8,13,15,86.7,11,40,51,20,7,4,23,19,99,5,1,532,2012-03-02
1050,Chicago Bulls,47,89,52.8,10,20,50.0,8,12,66.7,13,28,41,31,9,2,10,16,112,21,0,533,2012-03-02
1051,Cleveland Cavaliers,35,80,43.8,9,22,40.9,12,16,75.0,10,23,33,22,7,5,14,14,91,-21,1,533,2012-03-02
1052,Golden State Warriors,33,82,40.2,5,18,27.8,12,14,85.7,7,32,39,18,6,5,9,12,83,-22,0,534,2012-03-02
1053,Philadelphia 76ers,42,89,47.2,8,17,47.1,13,16,81.3,11,40,51,21,4,4,9,11,105,22,1,534,2012-03-02
1054,Dallas Mavericks,37,83,44.6,11,29,37.9,7,10,70.0,9,25,34,25,9,5,12,16,92,-5,0,535,2012-03-02
1055,New Orleans Hornets,40,88,45.5,3,13,23.1,14,17,82.4,16,34,50,22,7,2,11,16,97,5,1,535,2012-03-02
1056,Denver Nuggets,43,97,44.3,8,22,36.4,23,35,65.7,19,30,49,27,9,4,6,27,117,12,0,536,2012-03-02
1057,Houston Rockets,36,76,47.4,10,29,34.5,23,29,79.3,10,25,35,18,1,9,14,25,105,-12,1,536,2012-03-02
1058,Charlotte Bobcats,31,83,37.3,3,16,18.8,7,10,70.0,10,27,37,21,8,6,17,21,72,-30,0,537,2012-03-02
1059,San Antonio Spurs,39,82,47.6,10,20,50.0,14,21,66.7,14,41,55,20,10,5,18,17,102,30,1,537,2012-03-02
1060,Miami Heat,37,75,49.3,8,17,47.1,16,22,72.7,8,24,32,17,9,8,11,21,98,-1,0,538,2012-03-02
1061,Utah Jazz,38,90,42.2,3,10,30.0,20,27,74.1,23,27,50,22,8,6,11,17,99,1,1,538,2012-03-02
1062,Los Angeles Clippers,32,87,36.8,6,16,37.5,8,9,88.9,13,33,46,13,8,5,10,22,78,-3,0,539,2012-03-02
1063,Phoenix Suns,28,80,35.0,7,21,33.3,18,29,62.1,15,37,52,19,2,8,12,14,81,3,1,539,2012-03-02
1064,Sacramento Kings,45,103,43.7,9,25,36.0,8,9,88.9,13,27,40,23,11,4,5,22,107,-8,0,540,2012-03-02
1065,Los Angeles Lakers,44,82,53.7,6,17,35.3,21,26,80.8,8,40,48,25,2,7,13,13,115,8,1,540,2012-03-02
1066,Cleveland Cavaliers,37,83,44.6,8,21,38.1,16,26,61.5,11,32,43,18,9,4,14,17,98,-3,0,541,2012-03-03
1067,Washington Wizards,40,87,46.0,8,21,38.1,13,21,61.9,15,37,52,26,10,9,18,24,101,3,1,541,2012-03-03
1068,Oklahoma City Thunder,30,73,41.1,6,23,26.1,24,29,82.8,10,30,40,11,7,10,21,23,90,-7,0,542,2012-03-03
1069,Atlanta Hawks,37,85,43.5,8,17,47.1,15,22,68.2,11,30,41,21,9,2,12,22,97,7,1,542,2012-03-03
1070,Milwaukee Bucks,37,79,46.8,6,16,37.5,18,27,66.7,10,23,33,21,10,3,20,21,98,-16,0,543,2012-03-03
1071,Orlando Magic,42,81,51.9,14,27,51.9,16,27,59.3,14,32,46,26,12,4,19,24,114,16,1,543,2012-03-03
1072,Detroit Pistons,29,76,38.2,2,9,22.2,23,29,79.3,14,24,38,15,6,3,17,18,83,-17,0,544,2012-03-03
1073,Memphis Grizzlies,37,75,49.3,6,11,54.5,20,22,90.9,7,25,32,19,8,9,14,24,100,17,1,544,2012-03-03
1074,Indiana Pacers,35,80,43.8,9,19,47.4,23,32,71.9,15,34,49,24,8,10,14,17,102,18,0,545,2012-03-03
1075,New Orleans Hornets,33,81,40.7,4,12,33.3,14,21,66.7,14,29,43,22,3,5,13,21,84,-18,1,545,2012-03-03
1076,Utah Jazz,38,85,44.7,4,16,25.0,16,21,76.2,12,27,39,13,10,1,14,18,96,-6,0,546,2012-03-03
1077,Dallas Mavericks,36,75,48.0,10,23,43.5,20,24,83.3,10,30,40,24,11,5,15,20,102,6,1,546,2012-03-03
1078,Minnesota Timberwolves,43,80,53.7,12,23,52.2,24,28,85.7,10,27,37,20,4,3,13,20,122,12,0,547,2012-03-03
1079,Portland Trail Blazers,40,83,48.2,10,26,38.5,20,28,71.4,12,27,39,15,9,5,11,29,110,-12,1,547,2012-03-03
1080,New York Knicks,41,94,43.6,8,18,44.4,21,26,80.8,15,35,50,23,8,5,22,23,111,-4,0,548,2012-03-04
1081,Boston Celtics,45,103,43.7,7,18,38.9,18,22,81.8,12,30,42,29,12,8,14,24,115,4,1,548,2012-03-04
1082,Miami Heat,33,88,37.5,7,24,29.2,10,15,66.7,18,17,35,22,10,5,12,23,83,-10,0,549,2012-03-04
1083,Los Angeles Lakers,35,71,49.3,5,17,29.4,18,25,72.0,13,31,44,19,7,10,16,17,93,10,1,549,2012-03-04
1084,Golden State Warriors,29,80,36.2,4,19,21.1,13,19,68.4,10,31,41,17,6,3,12,20,75,-8,0,550,2012-03-04
1085,Toronto Raptors,29,78,37.2,4,10,40.0,21,24,87.5,14,37,51,19,8,5,14,18,83,8,1,550,2012-03-04
1086,New Jersey Nets,33,68,48.5,5,17,29.4,33,44,75.0,7,31,38,20,4,3,16,27,104,3,0,551,2012-03-04
1087,Charlotte Bobcats,31,80,38.8,2,14,14.3,37,39,94.9,13,26,39,21,8,5,9,28,101,-3,1,551,2012-03-04
1088,Chicago Bulls,39,82,47.6,7,16,43.8,11,16,68.8,9,36,45,21,2,6,13,18,96,5,0,552,2012-03-04
1089,Philadelphia 76ers,38,97,39.2,1,11,9.1,14,17,82.4,18,32,50,26,5,4,5,15,91,-5,1,552,2012-03-04
1090,Los Angeles Clippers,40,86,46.5,6,14,42.9,19,25,76.0,12,37,49,17,5,2,13,21,105,2,0,553,2012-03-04
1091,Houston Rockets,37,86,43.0,10,20,50.0,19,24,79.2,12,31,43,19,9,3,12,25,103,-2,1,553,2012-03-04
1092,Sacramento Kings,38,99,38.4,2,13,15.4,10,14,71.4,16,33,49,16,7,4,9,16,88,-8,0,554,2012-03-04
1093,Phoenix Suns,40,88,45.5,5,12,41.7,11,16,68.8,14,39,53,17,3,9,15,16,96,8,1,554,2012-03-04
1094,Denver Nuggets,36,86,41.9,6,17,35.3,21,28,75.0,10,39,49,19,6,6,9,26,99,5,0,555,2012-03-04
1095,San Antonio Spurs,32,72,44.4,10,27,37.0,20,27,74.1,5,35,40,22,6,6,14,22,94,-5,1,555,2012-03-04
1096,Orlando Magic,35,79,44.3,9,28,32.1,13,28,46.4,12,31,43,25,3,3,12,16,92,4,0,556,2012-03-05
1097,Toronto Raptors,32,79,40.5,8,20,40.0,16,20,80.0,10,32,42,22,8,3,13,28,88,-4,1,556,2012-03-05
1098,Golden State Warriors,45,83,54.2,15,23,65.2,15,16,93.8,10,37,47,27,7,4,14,24,120,20,0,557,2012-03-05
1099,Washington Wizards,36,85,42.4,8,22,36.4,20,36,55.6,19,28,47,25,11,4,14,16,100,-20,1,557,2012-03-05
1100,Utah Jazz,40,80,50.0,5,9,55.6,24,29,82.8,13,33,46,24,6,7,13,25,109,9,0,558,2012-03-05
1101,Cleveland Cavaliers,37,81,45.7,9,23,39.1,17,27,63.0,7,23,30,20,7,4,10,18,100,-9,1,558,2012-03-05
1102,Indiana Pacers,27,79,34.2,3,16,18.8,15,22,68.2,7,25,32,18,11,7,7,18,72,-20,0,559,2012-03-05
1103,Chicago Bulls,33,78,42.3,9,15,60.0,17,27,63.0,18,42,60,20,5,8,16,19,92,20,1,559,2012-03-05
1104,Philadelphia 76ers,35,94,37.2,7,19,36.8,16,23,69.6,20,33,53,17,6,7,12,17,93,-4,0,560,2012-03-05
1105,Milwaukee Bucks,35,88,39.8,7,20,35.0,20,23,87.0,12,35,47,24,4,6,13,19,97,4,1,560,2012-03-05
1106,Dallas Mavericks,36,84,42.9,9,21,42.9,10,10,100,9,27,36,19,12,5,12,23,91,-4,0,561,2012-03-05
1107,Oklahoma City Thunder,29,76,38.2,8,27,29.6,29,33,87.9,14,31,45,13,4,7,15,16,95,4,1,561,2012-03-05
1108,Los Angeles Clippers,34,84,40.5,5,23,21.7,21,32,65.6,16,36,52,15,6,3,8,21,94,-1,0,562,2012-03-05
1109,Minnesota Timberwolves,32,80,40.0,11,28,39.3,20,27,74.1,14,29,43,19,2,3,11,21,95,1,1,562,2012-03-05
1110,Sacramento Kings,45,98,45.9,12,27,44.4,14,21,66.7,14,35,49,28,8,7,18,27,116,-3,0,563,2012-03-05
1111,Denver Nuggets,40,88,45.5,11,27,40.7,28,35,80.0,12,35,47,33,9,8,15,20,119,3,1,563,2012-03-05
1112,New Orleans Hornets,29,70,41.4,3,9,33.3,13,22,59.1,8,29,37,14,6,3,14,20,74,-12,0,564,2012-03-05
1113,Portland Trail Blazers,31,72,43.1,6,22,27.3,18,24,75.0,8,35,43,19,8,5,11,22,86,12,1,564,2012-03-05
1114,Orlando Magic,31,80,38.8,13,35,37.1,9,17,52.9,14,27,41,18,4,5,18,25,84,-16,0,565,2012-03-06
1115,Charlotte Bobcats,38,80,47.5,4,10,40.0,20,27,74.1,13,33,46,25,8,8,12,17,100,16,1,565,2012-03-06
1116,Atlanta Hawks,38,83,45.8,8,19,42.1,17,22,77.3,14,31,45,23,5,5,13,28,101,5,0,566,2012-03-06
1117,Indiana Pacers,31,70,44.3,5,15,33.3,29,40,72.5,9,28,37,13,9,5,12,23,96,-5,1,566,2012-03-06
1118,Houston Rockets,32,83,38.6,5,19,26.3,23,29,79.3,14,43,57,18,8,2,18,25,92,-5,0,567,2012-03-06
1119,Boston Celtics,35,81,43.2,4,14,28.6,23,31,74.2,4,34,38,26,10,2,13,21,97,5,1,567,2012-03-06
1120,New Jersey Nets,31,83,37.3,8,22,36.4,8,12,66.7,10,19,29,14,13,3,13,12,78,-30,0,568,2012-03-06
1121,Miami Heat,45,77,58.4,10,17,58.8,8,9,88.9,7,36,43,30,6,2,17,13,108,30,1,568,2012-03-06
1122,Los Angeles Lakers,34,81,42.0,3,22,13.6,14,17,82.4,13,38,51,22,4,8,13,15,85,-3,0,569,2012-03-06
1123,Detroit Pistons,37,93,39.8,3,10,30.0,11,12,91.7,14,34,48,17,4,1,7,19,88,3,1,569,2012-03-06
1124,New York Knicks,32,84,38.1,6,23,26.1,15,23,65.2,14,37,51,20,9,2,16,21,85,-10,0,570,2012-03-06
1125,Dallas Mavericks,31,80,38.8,7,26,26.9,26,30,86.7,10,36,46,14,9,6,13,20,95,10,1,570,2012-03-06
1126,Houston Rockets,29,70,41.4,3,11,27.3,37,44,84.1,12,22,34,15,4,3,17,20,98,-18,0,571,2012-03-07
1127,Toronto Raptors,45,76,59.2,6,12,50.0,20,24,83.3,6,30,36,31,8,5,15,32,116,18,1,571,2012-03-07
1128,Boston Celtics,28,80,35.0,0,8,0.0,15,18,83.3,8,27,35,16,6,8,11,14,71,-32,0,572,2012-03-07
1129,Philadelphia 76ers,43,89,48.3,6,17,35.3,11,15,73.3,16,38,54,24,8,4,8,13,103,32,1,572,2012-03-07
1130,Los Angeles Lakers,32,81,39.5,8,21,38.1,29,37,78.4,9,33,42,21,9,6,13,16,101,-5,0,573,2012-03-07
1131,Washington Wizards,43,92,46.7,7,26,26.9,13,19,68.4,17,34,51,24,7,7,13,24,106,5,1,573,2012-03-07
1132,Utah Jazz,39,87,44.8,1,7,14.3,20,24,83.3,16,27,43,23,10,3,12,27,99,6,0,574,2012-03-07
1133,Charlotte Bobcats,32,68,47.1,3,7,42.9,26,37,70.3,9,25,34,24,6,9,16,21,93,-6,1,574,2012-03-07
1134,Atlanta Hawks,35,76,46.1,8,23,34.8,8,9,88.9,9,27,36,14,9,2,21,22,86,-3,0,575,2012-03-07
1135,Miami Heat,35,80,43.8,0,10,0.0,19,25,76.0,13,28,41,16,16,7,14,12,89,3,1,575,2012-03-07
1136,Los Angeles Clippers,35,76,46.1,11,22,50.0,19,27,70.4,9,29,38,17,10,3,16,21,100,-1,0,576,2012-03-07
1137,New Jersey Nets,33,72,45.8,10,25,40.0,25,31,80.6,9,25,34,24,10,3,18,23,101,1,1,576,2012-03-07
1138,Chicago Bulls,43,83,51.8,5,16,31.3,15,17,88.2,16,27,43,26,6,7,17,15,106,2,0,577,2012-03-07
1139,Milwaukee Bucks,42,88,47.7,5,15,33.3,15,19,78.9,16,19,35,29,12,4,10,15,104,-2,1,577,2012-03-07
1140,Phoenix Suns,38,84,45.2,3,19,15.8,25,34,73.5,16,32,48,28,4,7,18,23,104,-11,0,578,2012-03-07
1141,Oklahoma City Thunder,40,91,44.0,8,26,30.8,27,32,84.4,15,29,44,18,11,10,13,24,115,11,1,578,2012-03-07
1142,Portland Trail Blazers,44,93,47.3,3,23,13.0,3,4,75.0,12,25,37,27,7,4,9,23,94,-12,0,579,2012-03-07
1143,Minnesota Timberwolves,37,78,47.4,13,23,56.5,19,26,73.1,15,32,47,23,5,1,12,12,106,12,1,579,2012-03-07
1144,New York Knicks,41,96,42.7,10,28,35.7,13,17,76.5,12,25,37,22,12,2,10,22,105,-13,0,580,2012-03-07
1145,San Antonio Spurs,46,85,54.1,7,19,36.8,19,25,76.0,10,37,47,21,8,2,17,13,118,13,1,580,2012-03-07
1146,Cleveland Cavaliers,37,82,45.1,7,23,30.4,19,23,82.6,5,31,36,23,11,1,13,26,100,1,0,581,2012-03-07
1147,Denver Nuggets,35,81,43.2,4,20,20.0,25,32,78.1,10,36,46,23,7,5,17,19,99,-1,1,581,2012-03-07
1148,New Orleans Hornets,42,77,54.5,3,9,33.3,11,12,91.7,11,30,41,23,8,2,20,20,98,-1,0,582,2012-03-07
1149,Sacramento Kings,38,76,50.0,8,23,34.8,15,23,65.2,8,21,29,20,13,2,13,17,99,1,1,582,2012-03-07
1150,Memphis Grizzlies,42,80,52.5,7,19,36.8,19,21,90.5,9,38,47,33,11,5,13,19,110,18,0,583,2012-03-07
1151,Golden State Warriors,35,79,44.3,8,18,44.4,14,23,60.9,11,28,39,23,2,4,15,20,92,-18,1,583,2012-03-07
1152,Orlando Magic,32,76,42.1,11,26,42.3,24,31,77.4,17,32,49,17,3,4,15,17,99,5,0,584,2012-03-08
1153,Chicago Bulls,35,86,40.7,5,22,22.7,19,26,73.1,15,25,40,25,10,4,7,23,94,-5,1,584,2012-03-08
1154,Dallas Mavericks,38,87,43.7,8,22,36.4,10,13,76.9,8,30,38,19,5,4,10,16,94,-2,0,585,2012-03-08
1155,Phoenix Suns,37,76,48.7,3,14,21.4,19,27,70.4,8,34,42,23,5,6,10,14,96,2,1,585,2012-03-08
1156,Utah Jazz,34,84,40.5,3,11,27.3,20,24,83.3,14,28,42,15,8,7,11,20,91,-13,0,586,2012-03-09
1157,Philadelphia 76ers,41,78,52.6,3,7,42.9,19,27,70.4,10,36,46,26,8,5,13,15,104,13,1,586,2012-03-09
1158,New Jersey Nets,30,83,36.1,4,22,18.2,19,26,73.1,18,38,56,17,4,8,13,15,83,9,0,587,2012-03-09
1159,Charlotte Bobcats,30,86,34.9,2,11,18.2,12,21,57.1,13,30,43,17,8,7,8,17,74,-9,1,587,2012-03-09
1160,Portland Trail Blazers,31,72,43.1,6,15,40.0,18,23,78.3,16,37,53,12,4,7,28,19,86,-18,0,588,2012-03-09
1161,Boston Celtics,42,88,47.7,8,18,44.4,12,17,70.6,9,23,32,27,14,3,7,22,104,18,1,588,2012-03-09
1162,Atlanta Hawks,31,73,42.5,8,19,42.1,15,22,68.2,9,15,24,19,15,5,8,17,85,-1,0,589,2012-03-09
1163,Detroit Pistons,38,68,55.9,1,8,12.5,9,15,60.0,8,29,37,23,3,4,20,22,86,1,1,589,2012-03-09
1164,Cleveland Cavaliers,38,91,41.8,5,17,29.4,15,24,62.5,21,30,51,19,13,3,13,17,96,6,0,590,2012-03-09
1165,Oklahoma City Thunder,37,76,48.7,6,24,25.0,10,17,58.8,8,32,40,20,5,13,17,22,90,-6,1,590,2012-03-09
1166,Los Angeles Lakers,39,82,47.6,6,18,33.3,21,27,77.8,17,28,45,22,5,8,17,16,105,3,0,591,2012-03-09
1167,Minnesota Timberwolves,37,81,45.7,8,20,40.0,20,26,76.9,10,24,34,19,9,5,13,20,102,-3,1,591,2012-03-09
1168,New York Knicks,46,83,55.4,7,17,41.2,15,21,71.4,9,26,35,29,11,5,17,22,114,-5,0,592,2012-03-09
1169,Milwaukee Bucks,45,93,48.4,13,26,50.0,16,21,76.2,17,23,40,30,8,5,15,16,119,5,1,592,2012-03-09
1170,Los Angeles Clippers,43,84,51.2,14,27,51.9,20,24,83.3,9,32,41,20,7,0,7,23,120,12,0,593,2012-03-09
1171,San Antonio Spurs,38,78,48.7,12,30,40.0,20,32,62.5,9,26,35,22,4,3,11,21,108,-12,1,593,2012-03-09
