,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date
772,Chicago Bulls,39,90,43.3,6,15,40.0,11,20,55.0,18,35,53,22,10,4,10,15,95,31,0,390,2012-02-10
773,Charlotte Bobcats,25,76,32.9,1,8,12.5,13,19,68.4,10,34,44,17,5,5,16,18,64,-31,1,390,2012-02-10
774,Atlanta Hawks,36,82,43.9,6,17,35.3,11,18,61.1,6,37,43,23,6,4,10,17,89,2,0,391,2012-02-10
775,Orlando Magic,35,83,42.2,9,24,37.5,8,14,57.1,10,42,52,14,5,3,16,21,87,-2,1,391,2012-02-10
776,New Jersey Nets,31,74,41.9,5,19,26.3,25,31,80.6,10,21,31,18,10,5,18,22,92,-17,0,392,2012-02-10
777,Detroit Pistons,43,79,54.4,4,10,40.0,19,25,76.0,15,32,47,25,9,6,20,25,109,17,1,392,2012-02-10
778,Milwaukee Bucks,40,98,40.8,8,24,33.3,25,31,80.6,16,35,51,26,7,8,14,25,113,1,0,393,2012-02-10
779,Cleveland Cavaliers,43,88,48.9,8,17,47.1,18,32,56.3,11,37,48,33,6,5,17,26,112,-1,1,393,2012-02-10
780,Los Angeles Lakers,30,80,37.5,6,24,25.0,19,23,82.6,12,36,48,13,6,5,17,29,85,-7,0,394,2012-02-10
781,New York Knicks,33,77,42.9,5,21,23.8,21,34,61.8,8,33,41,16,9,1,14,17,92,7,1,394,2012-02-10
782,Indiana Pacers,30,78,38.5,6,16,37.5,26,37,70.3,16,32,48,14,3,3,14,29,92,-6,0,395,2012-02-10
783,Memphis Grizzlies,34,73,46.6,1,9,11.1,29,37,78.4,5,32,37,19,9,7,9,26,98,6,1,395,2012-02-10
784,Portland Trail Blazers,35,68,51.5,4,17,23.5,20,25,80.0,8,25,33,24,10,9,16,21,94,8,0,396,2012-02-10
785,New Orleans Hornets,33,75,44.0,3,16,18.8,17,25,68.0,14,23,37,20,10,1,17,27,86,-8,1,396,2012-02-10
786,Dallas Mavericks,39,90,43.3,9,21,42.9,17,23,73.9,8,30,38,25,16,8,18,28,104,7,0,397,2012-02-10
787,Minnesota Timberwolves,32,79,40.5,6,23,26.1,27,31,87.1,13,34,47,20,7,1,27,21,97,-7,1,397,2012-02-10
788,Oklahoma City Thunder,35,74,47.3,4,20,20.0,27,32,84.4,10,36,46,12,10,4,15,20,101,14,0,398,2012-02-10
789,Utah Jazz,38,80,47.5,3,9,33.3,8,13,61.5,6,26,32,27,8,3,15,21,87,-14,1,398,2012-02-10
790,Los Angeles Clippers,41,78,52.6,8,20,40.0,21,24,87.5,11,37,48,29,4,4,8,28,111,25,0,399,2012-02-11
791,Charlotte Bobcats,26,74,35.1,1,14,7.1,33,43,76.7,9,23,32,18,2,6,4,20,86,-25,1,399,2012-02-11
792,Denver Nuggets,43,87,49.4,5,17,29.4,22,33,66.7,14,25,39,14,8,4,12,22,113,4,0,400,2012-02-11
793,Indiana Pacers,42,79,53.2,8,22,36.4,17,22,77.3,6,25,31,22,6,5,20,28,109,-4,1,400,2012-02-11
794,Philadelphia 76ers,35,79,44.3,6,14,42.9,23,30,76.7,7,33,40,21,4,5,6,16,99,15,0,401,2012-02-11
795,Cleveland Cavaliers,31,84,36.9,3,14,21.4,19,25,76.0,14,38,52,19,3,3,11,19,84,-15,1,401,2012-02-11
796,San Antonio Spurs,42,80,52.5,7,22,31.8,12,17,70.6,10,33,43,25,8,6,13,17,103,14,0,402,2012-02-11
797,New Jersey Nets,35,87,40.2,7,24,29.2,12,15,80.0,13,26,39,19,5,4,14,12,89,-14,1,402,2012-02-11
