,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
464,Patty Mills,Portland Trail Blazers,16:32,4,9,44.4,0,3,0.0,2,2,100.0,1,2,3,1,0,0,0,1,10,4,164
465,Kevin Love,Minnesota Timberwolves,39:25,10,15,66.7,3,4,75.0,7,7,100.0,7,12,19,2,1,0,4,4,30,-7,164
466,LeBron James,Miami Heat,45:16,8,23,34.8,1,4,25.0,9,11,81.8,1,9,10,5,6,1,5,2,26,7,165
467,Goran Dragic,Phoenix Suns,20:09,5,12,41.7,2,4,50.0,5,5,100.0,0,0,0,2,3,0,1,3,17,-13,166
468,Robin Lopez,Phoenix Suns,6:43,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,6,166
469,Stephen Curry,Golden State Warriors,24:30,4,7,57.1,3,4,75.0,4,4,100.0,0,2,2,4,2,1,0,2,15,15,167
470,Trevor Ariza,New Orleans Hornets,41:36,6,12,50.0,3,7,42.9,2,2,100.0,1,6,7,6,2,0,4,3,17,-2,168
471,Chris Paul,New Orleans Hornets,40:53,3,6,50.0,1,2,50.0,5,6,83.3,0,0,0,10,0,0,3,5,12,3,168
472,Paul George,Indiana Pacers,21:15,5,10,50.0,0,3,0.0,0,0,0.0,1,5,6,0,2,0,0,2,10,4,169
473,Al Horford,Atlanta Hawks,35:05,6,14,42.9,0,0,0.0,2,2,100.0,2,8,10,6,2,2,0,1,14,22,169
474,JaVale McGee,Washington Wizards,24:33,3,4,75.0,0,0,0.0,2,2,100.0,0,1,1,0,1,2,0,1,8,-10,170
475,John Wall,Washington Wizards,37:15,8,19,42.1,0,5,0.0,0,1,0.0,1,1,2,11,1,0,5,1,16,-13,170
476,D.J. Augustin,Charlotte Bobcats,32:02,6,11,54.5,3,5,60.0,5,5,100.0,0,0,0,9,2,0,3,1,20,8,170
