,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
3016,Reggie Jackson,Oklahoma City Thunder,4:36,1,3,33.3,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,-5,1006
3017,Carmelo Anthony,New York Knicks,33:15,6,15,40.0,0,3,0.0,11,13,84.6,1,6,7,5,1,0,0,4,23,21,1007
3018,Gordon Hayward,Utah Jazz,30:45,1,9,11.1,1,3,33.3,1,2,50.0,1,2,3,4,0,0,1,2,4,-7,1008
3019,Paul Millsap,Utah Jazz,25:07,4,7,57.1,0,0,0.0,0,0,0.0,3,4,7,2,3,0,0,4,8,1,1008
3020,Derrick Favors,Utah Jazz,22:53,2,6,33.3,0,0,0.0,3,4,75.0,3,4,7,0,0,0,1,2,7,-16,1008
3021,Enes Kanter,Utah Jazz,12:57,2,3,66.7,0,0,0.0,3,4,75.0,1,1,2,1,2,1,0,3,7,-10,1008
3022,Alec Burks,Utah Jazz,2:47,2,2,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,4,3,1008
3023,Kawhi Leonard,San Antonio Spurs,15:22,3,5,60.0,1,1,100,0,1,0.0,0,6,6,0,1,1,1,2,7,-15,1008
3024,Danny Green,San Antonio Spurs,9:09,2,3,66.7,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,1,4,11,1008
3025,Cory Joseph,San Antonio Spurs,3:00,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-3,1008
3026,Andre Iguodala,Philadelphia 76ers,30:45,4,10,40.0,3,5,60.0,3,6,50.0,1,7,8,7,0,1,1,0,14,16,1009
3027,Jrue Holiday,Philadelphia 76ers,34:56,5,12,41.7,2,5,40.0,0,0,0.0,1,2,3,4,1,1,2,2,12,16,1009
3028,Thaddeus Young,Philadelphia 76ers,30:22,7,12,58.3,0,0,0.0,4,5,80.0,2,4,6,1,2,0,2,3,18,28,1009
3029,Lou Williams,Philadelphia 76ers,28:16,7,11,63.6,4,4,100,5,7,71.4,1,2,3,3,2,0,1,2,23,28,1009
3030,Nikola Vucevic,Philadelphia 76ers,7:26,2,2,100,1,1,100,0,0,0.0,0,2,2,2,1,1,0,2,5,5,1009
3031,Klay Thompson,Golden State Warriors,26:26,1,3,33.3,1,2,50.0,0,0,0.0,0,2,2,3,1,0,3,4,3,-13,1009
3032,Stephen Curry,Golden State Warriors,30:17,9,15,60.0,3,8,37.5,0,0,0.0,0,4,4,4,0,0,5,3,21,-22,1009
3033,Ish Smith,Golden State Warriors,23:47,4,11,36.4,0,2,0.0,1,2,50.0,1,2,3,5,2,0,0,1,9,0,1009
3034,Rajon Rondo,Boston Celtics,33:43,7,10,70.0,0,0,0.0,4,7,57.1,4,7,11,14,1,0,3,2,18,26,1010
3035,Avery Bradley,Boston Celtics,9:44,1,2,50.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,3,2,-9,1010
3036,E'Twaun Moore,Boston Celtics,1:50,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-5,1010
3037,JaVale McGee,Washington Wizards,34:38,6,15,40.0,0,0,0.0,4,5,80.0,6,8,14,1,1,5,2,4,16,-13,1010
3038,John Wall,Washington Wizards,39:25,6,13,46.2,0,0,0.0,7,9,77.8,0,7,7,8,1,1,1,4,19,-12,1010
3039,DeMar DeRozan,Toronto Raptors,35:38,4,12,33.3,1,2,50.0,8,9,88.9,1,5,6,0,2,0,2,3,17,-11,1011
3040,James Johnson,Toronto Raptors,11:59,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,4,0,0,1,2,0,5,1011
3041,Ed Davis,Toronto Raptors,12:29,1,4,25.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,2,-5,1011
3042,Dwight Howard,Orlando Magic,42:53,7,11,63.6,0,0,0.0,5,9,55.6,5,10,15,1,1,3,4,4,19,5,1011
3043,D.J. Augustin,Charlotte Bobcats,23:40,1,11,9.1,0,3,0.0,2,2,100,1,3,4,7,0,0,3,1,4,-21,1012
3044,Kemba Walker,Charlotte Bobcats,24:20,6,13,46.2,2,4,50.0,3,5,60.0,0,3,3,4,1,0,1,1,17,-18,1012
3045,LeBron James,Miami Heat,28:02,6,10,60.0,0,0,0.0,4,6,66.7,0,9,9,5,1,0,2,2,16,24,1012
3046,Udonis Haslem,Miami Heat,20:57,1,4,25.0,0,0,0.0,4,4,100,2,7,9,2,0,0,0,0,6,18,1012
3047,Kyrie Irving,Cleveland Cavaliers,28:08,5,11,45.5,3,4,75.0,0,0,0.0,1,3,4,4,0,2,4,3,13,-3,1013
3048,Tristan Thompson,Cleveland Cavaliers,16:33,4,5,80.0,0,0,0.0,1,6,16.7,3,3,6,0,0,3,0,2,9,-6,1013
3049,Kevin Love,Minnesota Timberwolves,37:38,9,16,56.3,5,6,83.3,2,2,100,7,10,17,1,1,1,1,1,25,15,1014
3050,Ricky Rubio,Minnesota Timberwolves,26:27,4,8,50.0,2,3,66.7,4,4,100,0,3,3,7,0,0,4,2,14,14,1014
3051,Wayne Ellington,Minnesota Timberwolves,11:43,1,4,25.0,0,0,0.0,1,2,50.0,0,2,2,0,0,0,0,0,3,9,1014
3052,Rudy Gay,Memphis Grizzlies,28:17,2,12,16.7,0,0,0.0,1,1,100,1,2,3,1,1,0,2,2,5,-36,1015
3053,Derrick Rose,Chicago Bulls,25:34,4,10,40.0,0,1,0.0,8,8,100,0,3,3,6,2,2,2,1,16,43,1015
3054,Taj Gibson,Chicago Bulls,20:23,3,8,37.5,0,0,0.0,1,2,50.0,0,3,3,0,0,1,0,3,7,9,1015
3055,Jimmy Butler,Chicago Bulls,5:36,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,-4,1015
3056,Danilo Gallinari,Denver Nuggets,36:35,7,16,43.8,1,7,14.3,5,7,71.4,0,4,4,0,5,0,1,0,20,11,1016
