,Player,Team,Number,Position,Height,Weight,Last Attended,Country
228,LeBronJames,LAL,6,F,6-9,250 lbs,St. Vincent-St. Mary HS (OH),USA
229,DeJonJarreau,IND,17,G,6-5,185 lbs,Houston,USA
230,TyJerome,OKC,16,G-F,6-5,195 lbs,Virginia,USA
231,IsaiahJoe,PHI,7,G,6-4,165 lbs,Arkansas,USA
232,AlizeJohnson,CHI,22,F,6-8,212 lbs,Missouri State,USA
233,CameronJohnson,PHX,23,F,6-8,210 lbs,North Carolina,USA
234,DavidJohnson,TOR,13,G,6-4,203 lbs,Louisville,USA
235,JalenJohnson,ATL,1,F,6-8,219 lbs,Duke,USA
236,JamesJohnson,BKN,16,F,6-7,240 lbs,Wake Forest,USA
237,KeldonJohnson,SAS,3,F-G,6-6,220 lbs,Kentucky,USA
238,KeonJohnson,LAC,45,G,6-4,185 lbs,Tennessee,USA
239,NikolaJokic,DEN,15,C,6-11,284 lbs,Mega Basket,Serbia
240,DamianJones,SAC,30,C,6-11,245 lbs,Vanderbilt,USA
241,HerbertJones,NOP,5,F,6-7,206 lbs,Alabama,USA
242,KaiJones,CHA,23,C-F,6-10,221 lbs,Texas-Austin,Bahamas
243,TreJones,SAS,33,G,6-1,185 lbs,Duke,USA
244,TyusJones,MEM,21,G,6-0,196 lbs,Duke,USA
245,DerrickJones Jr.,CHI,5,F,6-6,210 lbs,UNLV,USA
246,DeAndreJordan,LAL,10,C,6-11,265 lbs,Texas A&M,USA
247,CoryJoseph,DET,18,G,6-3,200 lbs,Texas-Austin,Canada
248,GeorgiosKalaitzakis,MIL,18,F,6-7,192 lbs,Panathinaikos,Greece
249,FrankKaminsky,PHX,8,F-C,7-0,240 lbs,Wisconsin,USA
250,EnesKanter,BOS,13,C,6-10,250 lbs,Fenerbahce,Turkey
251,LukeKennard,LAC,5,G,6-5,206 lbs,Duke,USA
252,LouisKing,SAC,23,F,6-7,205 lbs,Oregon,USA
253,CoreyKispert,WAS,24,F,6-6,224 lbs,Gonzaga,USA
254,MaxiKleber,DAL,42,F,6-10,240 lbs,Bayern Munich,Germany
255,NathanKnight,MIN,30,F-C,6-10,253 lbs,William & Mary,USA
256,KevinKnox II,NYK,20,F,6-7,215 lbs,Kentucky,USA
257,JohnKonchar,MEM,46,G,6-5,210 lbs,Indiana-Purdue Fort Wayne,USA
258,FurkanKorkmaz,PHI,30,G-F,6-7,202 lbs,Anadolu Efes,Turkey
259,VitKrejci,OKC,27,G,6-8,195 lbs,Zaragoza,Czech Republic
260,ArnoldasKulboka,CHA,98,F,6-10,209 lbs,Bilbao,Lithuania
261,JonathanKuminga,GSW,00,F,6-7,225 lbs,NBA G League Ignite,DRC
262,KyleKuzma,WAS,33,F,6-9,221 lbs,Utah,USA
263,ZachLaVine,CHI,8,G-F,6-5,200 lbs,UCLA,USA
264,JeremyLamb,IND,26,G-F,6-5,180 lbs,Connecticut,USA
265,JockLandale,SAS,34,C,6-11,255 lbs, ,Australia
266,RomeoLangford,BOS,9,G-F,6-5,216 lbs,Indiana,USA
267,JakeLayman,MIN,10,F,6-8,209 lbs,Maryland,USA
268,CarisLeVert,IND,22,G,6-6,205 lbs,Michigan,USA
269,DamionLee,GSW,1,G-F,6-5,210 lbs,Drexel,USA
270,SabenLee,DET,38,G,6-2,183 lbs,Vanderbilt,USA
271,AlexLen,SAC,25,C,7-0,250 lbs,Maryland,Ukraine
272,KawhiLeonard,LAC,2,F,6-7,225 lbs,San Diego State,USA
273,ScottieLewis,CHA,16,G,6-5,185 lbs,Florida,USA
274,KiraLewis Jr.,NOP,13,G,6-1,170 lbs,Alabama,USA
275,DamianLillard,POR,0,G,6-2,195 lbs,Weber State,USA
276,NassirLittle,POR,9,F-G,6-5,220 lbs,North Carolina,USA
277,IsaiahLivers,DET,12,F,6-6,232 lbs,Michigan,USA
278,KevonLooney,GSW,5,F,6-9,222 lbs,UCLA,USA
279,BrookLopez,MIL,11,C,7-0,282 lbs,Stanford,USA
280,RobinLopez,ORL,33,C,7-0,281 lbs,Stanford,USA
281,DidiLouzada,NOP,0,G,6-5,188 lbs,Sydney Kings,Brazil
282,KevinLove,CLE,0,F-C,6-8,251 lbs,UCLA,USA
283,KyleLowry,MIA,7,G,6-0,196 lbs,Villanova,USA
284,TimotheLuwawu-Cabarrot,ATL,7,G-F,6-7,215 lbs,Mega Basket,France
285,TreyLyles,DET,8,F,6-9,234 lbs,Kentucky,Canada
286,TheoMaledon,OKC,11,G,6-4,175 lbs,Asvel,France
287,SandroMamukelashvili,MIL,54,F-C,6-9,240 lbs,Seton Hall,Georgia
288,TeranceMann,LAC,14,G-F,6-5,215 lbs,Florida State,USA
289,TreMann,OKC,23,G,6-3,178 lbs,Florida,USA
290,BobanMarjanovic,DAL,51,C,7-3,290 lbs,Crvena zvezda,Serbia
291,LauriMarkkanen,CLE,24,F-C,6-11,240 lbs,Arizona,Finland
292,NajiMarshall,NOP,8,F,6-7,220 lbs,Xavier,USA
293,CalebMartin,MIA,16,F,6-5,205 lbs,Nevada-Reno,USA
294,CodyMartin,CHA,11,F,6-6,205 lbs,Nevada-Reno,USA
295,KelanMartin,IND,21,F,6-5,230 lbs,Butler,USA
296,KenyonMartin Jr.,HOU,6,F,6-5,215 lbs,IMG Academy (FL),USA
297,GarrisonMathews,HOU,25,G,6-5,215 lbs,Lipscomb,USA
298,TyreseMaxey,PHI,0,G,6-2,200 lbs,Kentucky,USA
299,SkylarMays,ATL,4,G,6-4,205 lbs,Louisiana State,USA
300,MilesMcBride,NYK,2,G,6-1,195 lbs,West Virginia,USA
301,CJMcCollum,POR,3,G,6-3,190 lbs,Lehigh,USA
302,T.J.McConnell,IND,9,G,6-1,190 lbs,Arizona,USA
303,JadenMcDaniels,MIN,3,F,6-9,185 lbs,Washington,USA
304,JalenMcDaniels,CHA,6,F-C,6-9,205 lbs,San Diego State,USA
305,DougMcDermott,SAS,17,F,6-7,225 lbs,Creighton,USA
306,JaValeMcGee,PHX,00,C-F,7-0,270 lbs,Nevada-Reno,USA
307,RodneyMcGruder,DET,17,G,6-4,205 lbs,Kansas State,USA
308,JaQuoriMcLaughlin,DAL,,G,6-4,190 lbs,California-Santa Barbara,USA
309,JordanMcLaughlin,MIN,6,G,5-11,185 lbs,Southern California,USA
310,BenMcLemore,POR,23,G,6-3,195 lbs,Kansas,USA
311,De'AnthonyMelton,MEM,0,G,6-2,200 lbs,Southern California,USA
312,SamMerrill,MEM,25,G,6-4,205 lbs,Utah State,USA
313,ChimezieMetu,SAC,7,F-C,6-9,225 lbs,Southern California,USA
314,KhrisMiddleton,MIL,22,F,6-7,222 lbs,Texas A&M,USA
315,PattyMills,BKN,8,G,6-0,180 lbs,St.Mary's College of California,Australia
316,PaulMillsap,BKN,31,F,6-7,257 lbs,Louisiana Tech,USA
317,ShakeMilton,PHI,18,G-F,6-5,205 lbs,Southern Methodist,USA
318,DavionMitchell,SAC,15,G,6-0,202 lbs,Baylor,USA
319,DonovanMitchell,UTA,45,G,6-1,215 lbs,Louisville,USA
320,EvanMobley,CLE,4,C,6-11,215 lbs,Southern California,USA
321,MalikMonk,LAL,11,G,6-3,200 lbs,Kentucky,USA
322,MosesMoody,GSW,4,G,6-5,211 lbs,Arkansas,USA
323,E'TwaunMoore,ORL,55,G,6-3,191 lbs,Purdue,USA
324,JaMorant,MEM,12,G,6-3,174 lbs,Murray State,USA
325,MarkieffMorris,MIA,8,F,6-9,245 lbs,Kansas,USA
326,MonteMorris,DEN,11,G,6-2,183 lbs,Iowa State,USA
327,MarcusMorris Sr.,LAC,8,F,6-8,218 lbs,Kansas,USA
328,MychalMulder,ORL,15,G,6-3,184 lbs,Kentucky,Canada
329,TreyMurphy III,NOP,25,F,6-8,206 lbs,Virginia,USA
330,DejounteMurray,SAS,5,G,6-4,180 lbs,Washington,USA
331,JamalMurray,DEN,27,G,6-3,215 lbs,Kentucky,Canada
332,MikeMuscala,OKC,33,F-C,6-10,240 lbs,Bucknell,USA
333,SviMykhailiuk,TOR,14,G-F,6-7,205 lbs,Kansas,Ukraine
334,AbdelNader,PHX,11,F,6-5,225 lbs,Iowa State,Egypt
335,LarryNance Jr.,POR,11,F-C,6-7,245 lbs,Wyoming,USA
336,RJNembhard Jr.,CLE,5,G,6-4,200 lbs,TCU,USA
337,AaronNesmith,BOS,26,G-F,6-5,215 lbs,Vanderbilt,USA
338,RaulNeto,WAS,19,G,6-2,180 lbs,Murcia,Brazil
339,GeorgesNiang,PHI,20,F,6-7,230 lbs,Iowa State,USA
340,DaishenNix,HOU,15,G,6-4,226 lbs,NBA G League Ignite,USA
341,ZekeNnaji,DEN,22,F-C,6-9,240 lbs,Arizona,USA
342,NerlensNoel,NYK,3,C-F,6-11,220 lbs,Kentucky,USA
343,JaylenNowell,MIN,4,G,6-4,201 lbs,Washington,USA
344,FrankNtilikina,DAL,21,G,6-4,200 lbs,Strasbourg IG,France
345,KendrickNunn,LAL,12,G,6-2,190 lbs,Oakland,USA
346,JusufNurkic,POR,27,C,6-11,290 lbs,Cedevita,Bosnia and Herzegovina
347,DavidNwaba,HOU,2,G-F,6-5,219 lbs,Cal Poly,USA
348,JordanNwora,MIL,13,F,6-8,225 lbs,Louisville,USA
349,RoyceO'Neale,UTA,23,F,6-5,226 lbs,Baylor,USA
350,SemiOjeleye,MIL,37,F,6-6,240 lbs,Southern Methodist,USA
351,ChumaOkeke,ORL,3,F,6-6,229 lbs,Auburn,USA
352,JoshOkogie,MIN,20,G,6-4,213 lbs,Georgia Tech,Nigeria
353,OnyekaOkongwu,ATL,17,F-C,6-8,240 lbs,Southern California,USA
354,IsaacOkoro,CLE,35,F-G,6-5,225 lbs,Auburn,USA
355,KZOkpala,MIA,11,F-G,6-8,215 lbs,Stanford,USA
356,VictorOladipo,MIA,4,G,6-4,213 lbs,Indiana,USA
357,KellyOlynyk,DET,13,F-C,6-11,240 lbs,Gonzaga,Canada
358,EugeneOmoruyi,DAL,,F,6-6,235 lbs,Oregon,Nigeria
359,MiyeOni,UTA,81,G-F,6-5,206 lbs,Yale,USA
360,CediOsman,CLE,16,F,6-7,230 lbs,Anadolu Efes,Turkey
361,KellyOubre Jr.,CHA,12,F-G,6-6,203 lbs,Kansas,USA
362,KevinPangos,CLE,6,G,6-1,179 lbs,Gonzaga,Canada
363,JabariParker,BOS,20,F,6-7,245 lbs,Duke,USA
364,EricPaschall,UTA,0,F,6-6,255 lbs,Villanova,USA
365,ChrisPaul,PHX,3,G,6-0,175 lbs,Wake Forest,USA
366,CameronPayne,PHX,15,G,6-1,183 lbs,Murray State,USA
367,ElfridPayton,PHX,2,G,6-3,195 lbs,Louisana-Lafayette,USA
368,GaryPayton II,GSW,0,G,6-3,195 lbs,Oregon State,USA
369,JamorkoPickett,DET,24,F,6-9,206 lbs,Georgetown,USA
370,MasonPlumlee,CHA,24,F-C,6-11,254 lbs,Duke,USA
