,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
238,JaVale McGee,Golden State Warriors,4:43,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,1,4,-3,23
239,Kent Bazemore,Atlanta Hawks,27:07,0,7,0.0,0,3,0.0,0,0,0.0,1,2,3,5,1,2,1,3,0,-5,24
240,Paul Millsap,Atlanta Hawks,32:38,5,14,35.7,1,3,33.3,5,10,50.0,1,6,7,2,4,0,3,3,16,-15,24
241,Dwight Howard,Atlanta Hawks,29:12,7,12,58.3,0,0,0.0,6,12,50.0,5,7,12,1,2,0,4,5,20,-9,24
242,Dennis Schroder,Atlanta Hawks,32:35,7,16,43.8,0,3,0.0,6,8,75.0,1,6,7,3,0,0,4,1,20,-5,24
243,Mike Muscala,Atlanta Hawks,21:35,5,7,71.4,0,2,0.0,0,0,0.0,1,6,7,0,1,0,1,4,10,19,24
244,Markieff Morris,Washington Wizards,32:40,5,13,38.5,1,3,33.3,7,9,77.8,0,9,9,1,3,1,2,5,18,15,24
245,Bradley Beal,Washington Wizards,39:14,6,16,37.5,3,8,37.5,13,14,92.9,1,1,2,3,0,1,5,1,28,4,24
246,John Wall,Washington Wizards,32:52,7,17,41.2,1,2,50.0,6,8,75.0,3,7,10,6,2,0,2,3,21,2,24
247,Tomas Satoransky,Washington Wizards,21:35,2,6,33.3,0,3,0.0,0,0,0.0,0,3,3,1,0,0,3,2,4,-3,24
248,Trey Burke,Washington Wizards,6:49,0,3,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,2,24
249,Justise Winslow,Miami Heat,38:45,5,18,27.8,0,2,0.0,3,4,75.0,1,2,3,4,2,0,1,2,13,6,25
250,Hassan Whiteside,Miami Heat,37:33,10,18,55.6,0,0,0.0,1,3,33.3,5,11,16,3,2,1,3,5,21,4,25
251,Goran Dragic,Miami Heat,36:26,6,14,42.9,3,5,60.0,2,2,100,1,4,5,5,1,0,4,2,17,3,25
252,Josh Richardson,Miami Heat,11:36,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0,1,0,2,2,0,-4,25
253,James Johnson,Miami Heat,19:22,4,8,50.0,1,3,33.3,2,2,100,1,2,3,2,0,1,1,4,11,-10,25
254,Rodney McGruder,Miami Heat,5:38,1,2,50.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,-7,25
255,Pascal Siakam,Toronto Raptors,16:15,4,6,66.7,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,0,8,0,25
256,Jonas Valanciunas,Toronto Raptors,27:56,1,2,50.0,0,0,0.0,3,4,75.0,2,9,11,0,1,2,2,3,5,3,25
257,DeMar DeRozan,Toronto Raptors,36:52,14,26,53.8,0,2,0.0,6,6,100,1,3,4,4,0,0,4,2,34,-1,25
258,Kyle Lowry,Toronto Raptors,41:16,4,15,26.7,2,8,25.0,3,3,100,4,4,8,5,3,3,5,3,13,11,25
259,Terrence Ross,Toronto Raptors,20:46,8,15,53.3,3,7,42.9,1,1,100,0,4,4,0,1,0,0,3,20,7,25
260,Jakob Poeltl,Toronto Raptors,20:04,1,4,25.0,0,0,0.0,2,2,100,4,2,6,0,1,0,1,2,4,6,25
261,Cory Joseph,Toronto Raptors,12:47,1,4,25.0,0,2,0.0,0,0,0.0,0,4,4,3,0,0,1,1,2,3,25
262,Norman Powell,Toronto Raptors,14:21,2,2,100,1,1,100,1,2,50.0,0,2,2,1,0,0,0,1,6,7,25
263,Cody Zeller,Charlotte Hornets,21:14,3,7,42.9,0,0,0.0,4,5,80.0,2,4,6,6,2,1,0,5,10,5,26
264,Nicolas Batum,Charlotte Hornets,36:15,7,13,53.8,2,5,40.0,2,3,66.7,0,9,9,2,0,0,3,2,18,11,26
265,Kemba Walker,Charlotte Hornets,31:50,11,22,50.0,3,8,37.5,5,8,62.5,1,6,7,1,0,0,4,2,30,7,26
266,Frank Kaminsky,Charlotte Hornets,18:18,3,5,60.0,2,4,50.0,0,0,0.0,0,4,4,3,0,0,1,3,8,10,26
267,Brook Lopez,Brooklyn Nets,28:30,7,17,41.2,2,6,33.3,2,3,66.7,1,2,3,2,0,0,3,1,18,6,26
268,Bojan Bogdanovic,Brooklyn Nets,33:14,4,17,23.5,2,9,22.2,4,4,100,1,3,4,1,0,0,2,3,14,-15,26
269,Joe Harris,Brooklyn Nets,22:51,0,4,0.0,0,2,0.0,0,0,0.0,0,3,3,1,0,0,1,3,0,-3,26
270,Carmelo Anthony,New York Knicks,35:54,9,22,40.9,2,6,33.3,5,5,100,3,4,7,4,0,1,1,4,25,14,27
271,Kristaps Porzingis,New York Knicks,32:59,10,15,66.7,4,7,57.1,3,5,60.0,2,3,5,1,0,0,0,5,27,14,27
272,Derrick Rose,New York Knicks,38:06,6,16,37.5,0,0,0.0,3,3,100,0,7,7,11,1,1,3,2,15,12,27
273,Justin Holiday,New York Knicks,14:01,1,2,50.0,1,2,50.0,1,2,50.0,0,0,0,0,0,0,0,0,4,1,27
