,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
7615,Draymond Green,Golden State Warriors,42:50:00,6,15,40,3,8,37.5,1,4,25,1,7,8,6,2,2,6,1,16,7,753
7616,JaVale McGee,Golden State Warriors,12:38,1,3,33.3,0,0,0,1,1,100,1,1,2,0,0,0,0,4,3,3,753
7617,Klay Thompson,Golden State Warriors,42:35:00,10,25,40,4,11,36.4,2,2,100,3,2,5,1,1,0,3,1,26,-11,753
7618,Stephen Curry,Golden State Warriors,41:45:00,11,20,55,8,14,57.1,5,6,83.3,0,4,4,9,3,0,3,2,35,4,753
7619,Kevon Looney,Golden State Warriors,12:03,1,1,100,0,0,0,2,2,100,0,2,2,1,1,1,1,5,4,-2,753
7620,Andre Iguodala,Golden State Warriors,34:40:00,1,5,20,0,3,0,0,0,0,1,5,6,1,1,1,1,3,2,-4,753
7621,Ben McLemore,Sacramento Kings,29:19:00,2,6,33.3,1,4,25,5,6,83.3,1,0,1,1,3,0,0,1,10,-5,753
7622,Willie Cauley-Stein,Sacramento Kings,17:33,7,12,58.3,0,0,0,0,0,0,0,4,4,1,2,1,0,0,14,3,753
7623,Pascal Siakam,Toronto Raptors,29:19:00,2,4,50,0,0,0,2,2,100,1,6,7,0,1,0,2,3,6,15,754
7624,Jonas Valanciunas,Toronto Raptors,25:40:00,9,17,52.9,0,0,0,4,4,100,0,5,5,0,1,0,2,4,22,13,754
7625,Norman Powell,Toronto Raptors,33:24:00,5,14,35.7,0,1,0,0,0,0,4,2,6,3,0,1,1,2,10,7,754
7626,Kyle Lowry,Toronto Raptors,39:21:00,5,13,38.5,0,5,0,5,6,83.3,0,10,10,11,1,0,2,4,15,5,754
7627,Terrence Ross,Toronto Raptors,26:14:00,7,11,63.6,3,4,75,0,0,0,1,2,3,2,0,1,1,0,17,7,754
7628,Fred VanVleet,Toronto Raptors,20:27,2,10,20,0,3,0,6,6,100,0,3,3,4,0,0,1,1,10,-4,754
7629,Jakob Poeltl,Toronto Raptors,7:20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-5,754
