,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
29,Stephen Curry,Golden State Warriors,34:06,9,18,50.0,3,10,30.0,5,6,83.3,0,3,3,4,0,0,4,1,26,-9,2,2016-10-25
30,Andre Iguodala,Golden State Warriors,26:48,1,3,33.3,0,2,0.0,0,0,0.0,1,1,2,3,1,0,1,3,2,-28,2,2016-10-25
31,JaVale McGee,Golden State Warriors,3:41,1,2,50.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,2,-6,2,2016-10-25
32,Kevon Looney,Golden State Warriors,3:41,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,2,2016-10-25
33,Justise Winslow,Miami Heat,33:57,7,15,46.7,0,2,0.0,1,1,100,3,5,8,4,1,2,2,4,15,15,3,2016-10-26
34,Hassan Whiteside,Miami Heat,30:59,9,16,56.3,0,0,0.0,0,4,0.0,4,10,14,1,0,4,1,3,18,5,3,2016-10-26
35,Goran Dragic,Miami Heat,28:37,7,15,46.7,0,1,0.0,2,2,100,3,3,6,6,0,0,3,4,16,-2,3,2016-10-26
36,James Johnson,Miami Heat,25:12,4,8,50.0,2,4,50.0,1,1,100,0,2,2,6,0,0,1,1,11,0,3,2016-10-26
37,Rodney McGruder,Miami Heat,23:37,1,3,33.3,0,1,0.0,4,5,80.0,1,2,3,0,2,0,1,4,6,15,3,2016-10-26
38,Aaron Gordon,Orlando Magic,35:06,5,12,41.7,2,3,66.7,0,0,0.0,2,6,8,4,1,1,3,1,12,-11,3,2016-10-26
39,Serge Ibaka,Orlando Magic,36:16,6,17,35.3,2,4,50.0,0,0,0.0,2,6,8,0,0,1,0,3,14,-16,3,2016-10-26
40,Nikola Vucevic,Orlando Magic,35:49,7,14,50.0,0,0,0.0,3,4,75.0,5,9,14,3,2,0,1,3,17,0,3,2016-10-26
41,Evan Fournier,Orlando Magic,39:23,7,19,36.8,2,6,33.3,4,7,57.1,1,3,4,4,2,0,1,3,20,-3,3,2016-10-26
42,Elfrid Payton,Orlando Magic,37:30,4,12,33.3,0,2,0.0,8,8,100,2,2,4,5,0,2,4,1,16,-4,3,2016-10-26
43,Jeff Green,Orlando Magic,25:14,2,7,28.6,0,2,0.0,3,4,75.0,1,2,3,1,0,0,1,1,7,-8,3,2016-10-26
44,D.J. Augustin,Orlando Magic,16:32,2,3,66.7,0,1,0.0,3,3,100,0,1,1,1,0,0,1,2,7,-11,3,2016-10-26
45,Harrison Barnes,Dallas Mavericks,34:41,8,14,57.1,3,6,50.0,0,0,0.0,3,6,9,0,0,0,2,3,19,-5,4,2016-10-26
46,Dwight Powell,Dallas Mavericks,16:29,0,2,0.0,0,0,0.0,0,2,0.0,3,4,7,1,0,1,0,2,0,1,4,2016-10-26
47,Seth Curry,Dallas Mavericks,15:45,3,4,75.0,1,2,50.0,0,0,0.0,0,3,3,1,3,1,0,6,7,7,4,2016-10-26
48,Dorian Finney-Smith,Dallas Mavericks,0:27,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,4,2016-10-26
49,Paul George,Indiana Pacers,42:46,7,14,50.0,4,5,80.0,7,8,87.5,0,8,8,6,0,0,2,2,25,24,4,2016-10-26
